well_id,wellUse,As,Ca,Ra_Total,U
4,Livestock,0.5,241.6,1.598,2.5
6,Unknown,0.5,1.6,0.267,2.5
11,Domestic,0.5,54.4,1.697,2.5
17,Domestic,5,270,3.44,1.5
18,Domestic,0.5,4.8,1.09,2.5
29,Livestock,0.5,14.4,2.036,2.5
39,Livestock,0.5,36,1.34,2.5
43,Livestock,0.71,324,4.92,0.38
49,Unknown,,4.25,,
53,Unknown,,120,,
55,Domestic,,109,,
63,Livestock,5,28.6,8.34,2.5
75,Livestock,0.5,54,3.026,2.5
81,Livestock,1,67,,31
84,Livestock,0.91,54,0.863,3.3
86,Unknown,0.5,0,0.722,2.5
87,Livestock,0.58,78,9.565,260
88,Unknown,0.88,29,2.078,2.5
93,Livestock,2.2,9.6,1.76,54
96,Livestock,11,74,1.067,700
98,Unknown,7.5,3.2,1.686,25
99,Unknown,1.2,99,2.86,23
100,Unknown,0.5,4,0.646,2.5
105,Livestock,0.6,212.8,1.97,0.59
106,Livestock,0.5,210,1.904,2.5
107,Livestock,0.5,4.6,0.539,2.5
108,Livestock,32,4.6,0.1911,34
109,Livestock,55,4.8,2.526,63
110,Domestic,0.5,30.4,3.658,9.1
112,Domestic,1,51,0.723,2.5
113,Domestic,0.5,18.8,1.187,2.4
115,Livestock,0.5,82,3.04,2.5
123,Livestock,3,,,300
140,Livestock,,94,,
144,Unknown,0.53,170,0.7808,110
148,Unknown,2,27,3.389,26
156,Unknown,2.4,17.6,1.514,5.2
157,Unknown,1,27,,
163,Municipal,1,10.9,,
173,Unknown,,5,,
174,Unknown,1.1,26,,4.1
175,Unknown,8.3,4.57,1.0523,29
198,Unknown,0.5,137.6,0.8394,11
226,Livestock,0.5,132.8,1.924,2.5
227,Unknown,0.5,4.8,0.836,2.5
228,Unknown,1.4,188,1.043,2.2
232,Unknown,5,18.4,0.533,10
259,Unknown,,,,0.223880597
273,Livestock,8.53,115,0.694,2.2
275,Livestock,7.6,6.76,,8.073134328
276,Unknown,8.2,4.02,,0.691044776
277,Unknown,4,43.5,,4.804477612
278,Unknown,10,16.5,,5.553731343
279,Domestic,2.8,35.2,,1.310447761
280,Unknown,10,28.4,,3.735820896
281,Livestock,6.6,46.8,,4.591044776
282,Livestock,10,50.4,,5.617910448
283,Unknown,10,35.2,,2.729850746
284,Unknown,7.2,33.8,,5.652238806
285,Unknown,10,35.3,,2.362686567
286,Unknown,10,28.9,,9.74
287,Unknown,3.3,529,,22.69701493
288,Domestic,10,59.5,,9.8
289,Domestic,10,31.1,,27.87164179
290,Livestock,10,32.4,,15.82835821
291,Livestock,10,20.7,,17.69661026
292,Livestock,13.7,37.35,,256.6119403
293,Livestock,5,27.6,,2.508955224
294,Livestock,10,62.7,,5.497014925
295,Unknown,10,22.4,,7.623880597
296,Unknown,10,12.4,,0.007462687
297,Domestic,10,47.1,,0.720895522
298,Unknown,2.6,40.8,,6.314925373
299,Unknown,7.7,5.015,1.166,54.3865027
300,Domestic,6,2.565,,5.980597015
301,Unknown,10,60.4,,15.09253731
302,Agriculture,8.8,2.395,,2.849253731
303,Unknown,10,54.2,,3.853731343
304,Unknown,0.41,29.2,,4.776119403
305,Unknown,11,13.6,0.114,59.70149254
306,Unknown,8.4,52,,11.28208955
307,Unknown,6.7,8.87,,5.094029851
308,Unknown,75,0.805,,12.94179104
309,Unknown,31.233905,17.05,,12.16722106
310,Unknown,30.8215198,62.6,,11.6711158
311,Unknown,10.9,30.15,,4.820895522
312,Unknown,3.2,51.8,,
313,Unknown,4.109735233,9.98,,6.51641791
314,Unknown,10,30.8,,1.911940299
315,Unknown,5.850780604,13.3,,3.180597015
316,Unknown,4.892519741,53.7,,0.546767655
318,Unknown,3.6,20.9,,3.082089552
319,Unknown,5,0.62,,0.274626866
320,Unknown,10,17.9,,2.02238806
321,Unknown,4.5,49.3,,7.132835821
322,Unknown,2.6,14.9,,1.27761194
323,Unknown,2,53,,0.108955224
324,Domestic,21.4,8.9,,20.27164179
325,Unknown,9.337629763,2,,2.249253731
326,Unknown,,7.85,,10.60447761
327,Unknown,19.9,24.15,,11.7238806
328,Unknown,6.3,36,,10.41641791
329,Unknown,3,58.1,,10.93731343
330,Unknown,6.1,42.5,,6.640298507
331,Unknown,14.3,22.6,,8.285074627
332,Unknown,4.2,45.6,0.78,179.1044776
333,Unknown,16.4,1.2,,0.125373134
334,Unknown,2.4,52.5,,6.849253731
335,Unknown,28.5,7.6,,10.7718739
336,Unknown,2.4,53.9,,0.029850746
337,Domestic,110,2.1,0.304,13.47761194
338,Domestic,19,120,,23.18358209
339,Unknown,52,1,,1.185481457
340,Unknown,,509,0.2,284.6716418
341,Unknown,10,55.1,,0.331343284
342,Domestic,237,1.8,0.3194,50.34626866
343,Unknown,11.6,20.9,,18.61343284
344,Unknown,10,56,,0.086567164
345,Domestic,170,2.815,,5.750746269
346,Unknown,10,9.18,,7.467164179
347,Unknown,10,21.1,,12.15522388
348,Unknown,6,16,,24.4641791
350,Unknown,3.5,56.6,,16.10447761
351,Unknown,10,86.2,,16.52985075
352,Livestock,10,52.4,,108.9701493
353,Unknown,6.2,112,,0.488059701
354,Unknown,10,271,2.55,98.50746269
355,Domestic,10,178.5,,11.05373134
356,Unknown,10,11.7,,18.76716418
357,Unknown,10,176,5.77,157.1843347
358,Unknown,10,106,,13.86268657
359,Unknown,2.8,145,,20.3119403
360,Unknown,10,210,,1.48358209
361,Unknown,10,402,,7.653731343
362,Unknown,10,56.3,,8.435820896
363,Unknown,44.1,3.63,,25.36567164
364,Unknown,10,80.1,,13.90597015
365,Unknown,10,27.8,,59.58358209
366,Unknown,3.4,544,,89.64179104
367,Unknown,10,451,,70.33731343
368,Livestock,28.5,0.997,,17.87462687
369,Domestic,10,3.75,,3.62238806
370,Livestock,10,11.5,,1.427623029
371,Unknown,5.3,0.667,,3.394029851
372,Unknown,10,120,,3.780597015
373,Domestic,10,475.5,,1.67761194
374,Unknown,17.2,1.95,,1.586567164
375,Unknown,10,34.2,,8.497014925
376,Unknown,10,11.1,,24.74627833
377,Unknown,10,120.5,,8.311940299
378,Unknown,10,100,,15.01641791
379,Unknown,10,110,,13.31641791
380,Unknown,10,75.2,,11.13134328
381,Unknown,2.7,64.4,,12.58208955
382,Unknown,10,64.8,,11.58358209
383,Domestic,10,55.3,,14.6761194
384,Unknown,282,77.3,,33.46567164
385,Livestock,5.2,55.6,,14.17313433
386,Unknown,10,57.5,,0.120895522
387,Unknown,4.7,25.95,1.216,28.87163508
388,Unknown,55,8,,47.42
389,Unknown,31.9,5.67,,34.82089552
390,Unknown,82.00753309,4.913454228,,187.9299094
391,Unknown,20,14.9,,12.46716418
392,Unknown,10,51,,12.73731343
393,Domestic,10,98.5,,3.276119403
394,Unknown,10,66.8,,3.935820896
395,Domestic,10,52.9,,14.88370905
397,Unknown,3.3,52.5,,4.164179104
398,Unknown,47,57.1,,2.873134328
400,Domestic,10,4.97,,0.323880597
401,Domestic,10,56.41853032,,0.34
402,Domestic,10,25.53264597,,0.51567104
403,Unknown,10,32.1,,3.632835821
404,Unknown,3.9,30.1,,4.140298507
405,Unknown,6.6,51.59059674,,55.18694266
406,Unknown,2.8,32.4,,6.734328358
407,Unknown,10,19.4,,5.08358209
408,Unknown,10,23.7,,3.473134328
409,Unknown,3.8,28.5,,5.268656716
410,Unknown,3.4,64,,6.252238806
411,Unknown,2.6,25.8,,1.494029851
412,Livestock,7.3,5.53,,1.011940299
413,Unknown,10,74.2,,31.04925373
414,Unknown,30.8,112,,4.521492537
415,Unknown,5.2,23.73134508,,1.892289662
416,Unknown,2.7,36.1,,19.05074627
417,Unknown,2.7,29.7,,2.12238806
418,Unknown,4.1,66.6,,0.210447761
419,Unknown,13.32261943,1.263202956,,11.24328358
420,Unknown,4.6,31.9,,2.898507463
421,Unknown,10,305.8334922,,24.80462351
422,Unknown,7.6,17.5,,3.007462687
423,Unknown,10,551,,20.98059701
424,Unknown,10,21.63958992,,2.388059701
425,Domestic,1.636977035,35.8,,1.194029851
426,Unknown,0.54,29.8,,5.223880597
427,Livestock,0.59,3.57,,1.641791045
428,Domestic,10,137.6664124,,5.671641791
429,Unknown,1.3,146,,1.641791045
430,Unknown,8.86,59.8,,42.3880597
431,Unknown,5.4,6.95,,19.70149254
432,Unknown,8.47,51,,5.223880597
433,Unknown,6.82,18.7,,28.05970149
434,Unknown,9.03,24.4,,37.68
435,Unknown,39.60763034,6.4,0.894,69.25373134
437,Domestic,10,51.5,,9.92238806
438,Livestock,18.3,1.04,,13.55373134
439,Unknown,10,96,,68.39552239
440,Unknown,10,2.2,,0.67761194
441,Livestock,10,41.6,,11.19402985
442,Livestock,10,29.5,,0.41641791
443,Unknown,4.2,18.1,,10.6358209
444,Unknown,10,74.7,,4.770149254
445,Unknown,10,67.2,,4.47761194
446,Domestic,10,83.7,,10.52537313
447,Unknown,10,69.8,,3.6
448,Unknown,10,73.4,,4.719402985
449,Domestic,10,70.4,,3.682089552
450,Livestock,10,74.9,,2.729850746
451,Unknown,2.6,75.8,,4.570149254
452,Unknown,10,88.1,,3.644776119
453,Unknown,10,71.7,,5.17761194
454,Domestic,4.8,107,,4.364179104
455,Unknown,10,76.6,,5.823880597
456,Unknown,10,81.8,,9.373134328
457,Unknown,3.6,42.6,,22.91940299
458,Unknown,11.4,101,,45.32089552
459,Unknown,9.1,4.69,,0.208955224
460,Unknown,6.6,69.9,,24.10149254
461,Unknown,9.7,15.4,,13.30447761
462,Domestic,4.3,45.4,,5.494029851
463,Domestic,10,58.3,,7.640298507
464,Unknown,6,53,,10.88059701
468,Unknown,3.5,64.9,,6.6
469,Unknown,10,130,,27.15820896
470,Domestic,9.8,64.9,,124.9358209
471,Unknown,5.7,41.8,,11.48507463
472,Unknown,7.2,62.4,1.718,61
473,Unknown,5.1,66.7,,21.62238806
474,Unknown,5.8,46.1,,34.92537313
475,Unknown,4.1,10.2,,0.047761194
476,Unknown,8,81.2,,187.0746269
477,Unknown,10,13.9,,0.888059701
478,Unknown,4.2,37.8,,15.09552239
479,Unknown,3.2,57.8,,25.95671642
480,Unknown,4.1,31.3,,13.07462687
481,Unknown,10,55.7,1.736,4.594029851
482,Unknown,6.06,44.5,,16.56716418
483,Unknown,11.4,1.02,,27.6119403
484,Unknown,26,2.155,,13.58208955
485,Livestock,2.3,9.55,,10.89552239
486,Livestock,2.7,58.3,,113.4328358
487,Livestock,10,53.55,6.209,48.20895522
488,Livestock,10,21.25,2.688,40.59701493
489,Livestock,10,76.2,2.16,30.29850746
493,Unknown,10,46.8,,0.344776119
494,Unknown,7.89,51,,48.95522388
495,Unknown,4.21,44.1,,14.32835821
496,Unknown,10,0.3,,1.791044776
497,Unknown,10,29,,1.194029851
498,Unknown,10,23,,13.58208955
499,Unknown,,,0.5,
500,Domestic,,43,,2
501,Unknown,20,33.6,3.566,35
502,Domestic,,99,,
503,Domestic,,119,,25.71268263
504,Unknown,,,,
505,Domestic,,,,
506,Domestic,,,,12.23151026
509,Unknown,234.4223967,2.363374054,,560.170256
511,Unknown,1.42720854,27.1318495,,18.4827539
512,Livestock,8.665189383,51,,6.67
513,Unknown,,2.5,,
524,Unknown,1,24.5,,
541,Unknown,10,52.6,,7.97761194
542,Unknown,3.671790665,45.8,,9.958087285
543,Unknown,6.6,8.676926346,0.43,
544,Livestock,7.54,373,,
545,Unknown,37.6088167,0.8215,0.522,26.58356165
546,Domestic,5,45.8,3.853,3.3
547,Unknown,20,8.765,0.59,2.5
550,Unknown,1.8,137.6,4.428,3.6
551,Unknown,0.52,2.4,0.13,2.5
552,Unknown,40,5.85,3.953,130
553,Unknown,0.5,16,1.304,2.5
554,Unknown,5.3,33,0.695,5.2
