well_no,well_name,owner,depth,aquifer_co,swl,pwsid,usgs_id,data_sourc,comments,aka2,aka3,chapid,grazing_di,welltype,well_use,well_statu,sdwa_type,nn_agency,USE,lat,long,Chapter,Al,Alkalinity_Total,As,Ba,Be,Bicarbonate,Bromide,Ca,Carbonate,Cd,Chloride,Conductivity,Corrosivity,Cr,Cu,DissolvedOxygen,Fe,Fluoride,Hardness,Hg,K,Mg,Mn,Mo,Na,Ni,Nitrate,Nitrite,Pb,pH,Phosphate,Ra_226,Ra_228,Ra_Total,Rn_222,Salinity,Sb,Se,Sn,SpecificConductance,Sr,Sulfate,Temperature,Tl,TotalDissolvedSolids,Turbidity,U,V,Zn
00-3700,(D-42-19) 7DDA- 2,,20,"71",5.8,,370849109512000,USGS RESTON 11/09/84,,,,"111","0",WW,DOM,UNK,UWS,,Domestic,37.1469383239,-109.855682373,Off Reservation,,,,,,"184",,"113","0",,"28",,,,,,,,"420",,,"35",,,,,"0.3",,,"7.1",,,,,,,,,,"1190",,"413",,,,,,,
00-4034,(D-40-22)30AAD- 2,BUTLER,27,"1",8.8,,371630109313000,USGS RESTON 11/09/84,,,,"111","0",UNK,OTH,UNK,UWS,,Other,37.2749977112,-109.525688171,Off Reservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"529",,,"15",,,,,,
00-4041,(D-40-21)26DAA- 1,LESTER,300,"40",-6,,371643109336000,USGS RESTON 11/09/84,,,,"111","0",WW,DOM,UNK,UWS,,Domestic,37.2786102295,-109.565963745,Off Reservation,,,"3","40",,"530",,"10","5","0","18",,,"0","20",,"120","0.77","48","0","8","5","40",,"215","0","0.9","0","0",,,,,,,,,"0",,"1320",,"62",,,"724.5","0.5",,,"20"
00-4052,(D-40-21)25ADB- 1,JOHNSON,590,"40",-52,,371657109331000,USGS RESTON 11/09/84,,,,"111","0",WW,DOM,UNK,UWS,,Domestic,37.282497406,-109.554290771,Off Reservation,,,"17","4",,,,"2.5",,,"4.1",,,,,,,"0.1","9",,"1.3","0.66",,,"110",,,,,"8.9",,,,,,,,,,"457",,"47","16",,"292",,,,
00-4047,(D-40-21)26ADA- 1,BLUFF,0,"0",0,,371652109340000,USGS RESTON 11/09/84,,,,"111","0",WW,MUN,UNK,REG,,Municipal,37.2811088562,-109.568466187,Off Reservation,,,,,,"128",,"34","0",,"7",,,,,,,,"150",,,"16",,,,,"6.8",,,,,,,,,,,,,"318",,"39",,,"170",,,,
00-4057,(D-40-21)25AAC- 1,SAN JUAN,550,"40",-60,,371701109324000,USGS RESTON 11/09/84,,,,"111","0",WW,MUN,UNK,REG,,Municipal,37.2836112976,-109.545135498,Off Reservation,,,"36",,,,,"2.9",,,"6.4",,,,,,,"0.2","10",,"1.4","0.68",,,"140",,,,,"8.75",,,,,,,,,,"572",,"53","16.5",,"364",,,,
00-4059,(D-40-22)30BBD- 1,JONES,600,"40",18,,371703109323000,USGS RESTON 11/09/84,,,,"111","0",WW,DOM,UNK,UWS,,Domestic,37.284160614,-109.542350769,Off Reservation,"100",,"12","100","10",,"0.013","3.095",,"1","2.12",,,"10",,,,"0.09","11",,"1.3","0.8035",,"0.62","94.1",,,,,"8.7",,,,,,,"1","0.4",,"417","120","45.8",,,"262.5",,"0.04",,"10"
00-4053,(D-40-21)25ACD- 1,JOHNSON,450,"40",-53,,371657109332000,USGS RESTON 11/09/84,,,,"111","0",WW,UNK,UNK,UWS,,Unknown,37.282497406,-109.555961609,Off Reservation,,,"21",,,"198",,"3","10",,,,,,,,"60","0.11","9",,"2",,,,"92",,"0",,,,,,,,,,,,,"420",,"51",,,"266","0.2",,,"40"
00-4055,(D-40-22)30AAD- 1,NIELSON,640,"40",-104,,371700109315000,USGS RESTON 11/09/84,,,,"111","0",WW,AGR,UNK,UWS,,Agriculture,37.2833328247,-109.529853821,Off Reservation,,,"12",,,,,"3.4",,,"1.4",,,,,,,"0.1","11",,"1.7","0.67",,,"81",,,,,"8.85",,,,,,,,,,"373",,"52","16.5",,"238",,,,
00-4066,(D-40-21)25BAB- 1,HOWE,300,"40",-41,,371712109334000,USGS RESTON 11/09/84,,,,"111","0",WW,AGR,UNK,UWS,,Agriculture,37.2866630554,-109.5626297,Off Reservation,,,"19",,,"183.5",,"3.4","0",,"2",,,,,,"20","0.1","16",,"1.4","1.5","0",,"90.5",,"0.7",,,"8.45",,,,,,,,,,"382",,"47","18.5",,"243.5",,,,
